Species,Call type,Latitude,Pond Name,State,Water Temperature (C),Avg. duration (s),Avg. pulse rate (pulses/s),Avg. call rate (calls/min),Avg. dominant frequency (Hz),Call effort (s calling/ min),Mass (g),Distance nearest calling male (m),Total males
SB,Slow,39.447223,Dork Pond,Colorado,12.2,0.828,35.424,25.793,1375.071,21.348,14.1,,15
SB,Slow,39.447223,Dork Pond,Colorado,12.2,1.048,38.387,25.762,1404.3,27.009,15.27,,15
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.625,62.295,38.507,1451.971,24.064,15.32,2.44,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.621,55.208,34.353,1242.8,21.319,,2.44,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.632,59.528,34.225,1599.614,21.616,,1.52,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.622,57.539,38.512,1533.486,23.97,,,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.639,57.023,41.687,1561.157,26.631,8.24,1.52,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.669,58.47,30.517,1535.014,20.426,10.92,3.05,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.64,57.148,29.892,1227.4,19.143,,,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.912,57.414,31.798,1671.914,28.987,13.95,0.61,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.731,55.308,31.545,1451.957,23.054,,0.61,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.52,60.771,31.354,1436.571,16.293,12.92,0.3,35
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.685,65.071,40.103,1456.571,27.484,14.07,0.91,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.639,61.734,39.968,1478.1,25.526,12.93,0.91,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.589,64.201,37.228,1610.386,21.943,10.16,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.645,61.821,39.956,1539.629,25.755,,1.22,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.643,62.636,39.591,1376.6,25.441,15.34,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.636,63.929,42.029,1276.629,26.727,,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.647,61.294,41.624,1396.6,26.948,,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.665,60.542,42.848,1478.114,28.491,12.78,0.61,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.642,62.158,38.988,1488.871,25.037,,0.61,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.61,57.615,41.037,1451.971,25.05,12.47,0.61,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.607,59.472,35.021,1473.514,21.249,12.18,0.3,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.656,62.546,36.199,1553.471,23.732,13.84,0.3,30
SB,Slow,38.918023,Limited Time Offer,Colorado,15.7,0.66,51.524,32.138,1324.3,21.208,13.48,4.57,20
SB,Slow,38.918023,Limited Time Offer,Colorado,15.7,0.731,48.252,36.077,1278.157,26.355,15.24,,20
SB,Slow,38.918023,Limited Time Offer,Colorado,15.7,0.713,49.876,30.759,1336.614,21.944,19.93,,20
SB,Slow,38.918023,Limited Time Offer,Colorado,15.7,0.685,47.488,27.706,1242.8,18.967,,2.44,20
SM,,37.675702,Flip pond,Colorado,16.3,0.889,18.553,24.164,1362.743,21.484,8.31,3.05,30
SM,,37.675702,Flip pond,Colorado,16.3,1.059,15.731,23.501,1404.271,24.893,,3.05,30
SB,Slow,37.675702,Flip pond,Colorado,16.3,0.753,50.493,25.532,1451.971,19.236,,,30
SM,,37.675702,Flip pond,Colorado,16.3,1.427,15.356,23.059,1515.014,32.907,,0.3,30
SB,Slow,37.675702,Flip pond,Colorado,16.3,0.758,53.313,30.58,1481.2,23.182,17.57,,30
SM,,37.675702,Flip pond,Colorado,16.3,1.358,16.136,22.561,1476.586,30.639,10.71,2.44,30
SM,,37.675702,Flip pond,Colorado,16.3,1.279,16.231,21.141,1384.286,27.028,8.7,,30
SM,,37.687311,House Pond,Colorado,17.7,1.177,17.146,27.37,1328.914,32.226,9.19,,20
SM,,37.687311,House Pond,Colorado,17.7,1.238,20.597,25.799,1284.314,31.937,14.14,,20
SM,,37.687311,House Pond,Colorado,17.7,1.581,20.626,21.989,1279.686,34.758,,,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.049,19.934,15.88,1308.9,16.664,,,20
SM,,37.680759,Saw Dust,Colorado,19.4,0.994,19.864,30.504,1305.857,30.328,,0.1,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.171,20.15,25.721,1351.986,30.13,,1.07,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.168,20.055,25.671,1316.6,29.973,,1.07,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.093,18.678,29.338,1347.386,32.059,,1.22,20
SM,,37.680759,Saw Dust,Colorado,19.4,0.904,21.012,27.014,1373.514,24.43,5.77,0.91,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.056,19.419,28.419,1299.714,30.003,,,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.124,19.124,30.16,1353.529,33.905,,,20
SM,,37.680759,Saw Dust,Colorado,19.4,1.134,19.702,31.004,1232.029,35.146,,,20
SM,,37.66442,Overkill,Colorado,21,0.966,23.451,34.387,1228.943,33.229,13.72,,30
SM,,37.66442,Overkill,Colorado,21,0.942,23.357,33.729,1387.357,31.781,9.77,,30
SM,,37.66442,Overkill,Colorado,21,0.911,21.156,35.472,1341.2,32.306,9.49,,30
SM,,37.66442,Overkill,Colorado,21,0.97,21.299,32.715,1282.771,31.731,12.59,,30
SM,,37.66442,Overkill,Colorado,21,0.901,20.64,36.002,1295.071,32.42,8.2,,30
SM,,37.66442,Overkill,Colorado,21,1.083,20.473,29.358,1419.671,31.785,,,30
SM,,37.66442,Overkill,Colorado,21,1.133,20.224,28.343,1273.529,32.115,,1.83,30
SM,,37.66442,Overkill,Colorado,21,1.022,19.08,29.493,1421.2,30.137,,0.3,30
SM,,37.66442,Overkill,Colorado,21,0.931,20.594,28.325,1530.429,26.357,,0.3,30
SM,,37.66442,Overkill,Colorado,21,0.945,20.278,36.312,1335.071,34.33,,,30
SM,,37.681621,Day Break,Colorado,14.7,1.606,10.691,17.475,1325.843,28.061,11.11,0.91,60
SB,Slow,37.681621,Day Break,Colorado,14.7,1.19,32.793,23.981,1511.929,28.528,18.27,,60
SM,,37.681621,Day Break,Colorado,19.6,1.628,11.115,27.283,1396.571,44.408,8.83,0.3,60
SM,,37.681621,Day Break,Colorado,24.5,0.88,20.38,30.636,1562.7,26.947,5.77,4.57,60
SM,,37.681621,Day Break,Colorado,29.4,1.049,19.492,28.288,1459.657,29.676,,3.05,60
SM,,37.820125,Canyon Lands,Colorado,16.3,1.353,16.7,21.393,1433.514,28.938,,1.22,25
SM,,37.820125,Canyon Lands,Colorado,16.3,1.182,15.69,27.981,1232.014,33.083,,1.22,25
SM,,37.820125,Canyon Lands,Colorado,16.3,1.262,16.155,22.904,1502.729,28.906,8.2,0.91,25
SM,,37.820125,Canyon Lands,Colorado,16.3,1.329,14.971,20.321,1336.614,26.999,11.07,0.91,25
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.526,67.982,43.584,1331.986,22.921,22.91,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.459,68.781,51.378,1415.043,23.595,,1.22,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.487,69.104,43.836,1284.314,21.356,,4.57,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.541,68.928,42.309,1555.029,22.868,11.91,4.57,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.458,70.882,45.664,1476.571,20.899,,1.22,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.522,68.251,46.879,1270.471,24.451,,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.506,69.716,47.252,1398.129,23.89,12.38,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.478,69.297,45.254,1535.014,21.612,,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.459,69.925,46.112,1467.343,21.162,11.95,1.37,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.497,67.314,43.066,1293.543,21.383,17.66,0.76,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.453,63.882,40.742,1607.3,18.446,9.43,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.473,59.681,41.886,1576.529,19.83,9.34,,50
SB,Slow,36.388307,Defiant Cow,New Mexico,20.8,0.571,61.047,44.244,1364.286,25.248,,,50
SM,,36.388307,Defiant Cow,New Mexico,20.8,0.814,20.879,34.572,1327.386,28.153,7.36,,50
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.973,20.801,33.543,1222.9,32.648,,4.572,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.804,23.415,33.272,1355.043,26.754,,6.096,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,1.014,22.269,28.345,1396.6,28.747,,0.914,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.902,21.104,29.344,1298.143,26.463,,,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,1.004,21.678,25.082,1164.329,25.178,14.72,0.305,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,1.032,21.641,25.816,1379.671,26.633,,0.305,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.937,21.811,28.58,1359.671,26.772,,,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.754,22.98,34.957,1368.914,26.366,,,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,1.025,21.29,29.062,1268.914,29.801,,6.096,30
SM,,32.893197,Alice in Couchiiland,New Mexico,20.6,0.857,22.01,30.548,1272,26.177,,1.829,30
SB,Slow,34.953648,Headache,New Mexico,17.2,0.665,52.992,34.101,1693.443,22.685,,0.61,30
SM,,34.953648,Headache,New Mexico,17.2,1.253,15.961,19.241,1373.514,24.117,,,30
SM,,34.953648,Headache,New Mexico,17.2,1.145,15.653,24.487,1385.814,28.038,,0.305,30
SM,,34.953648,Headache,New Mexico,17.2,1.164,16.77,27.693,1391.971,32.22,,1.219,30
SM,,34.953648,Headache,New Mexico,17.2,1.038,17.523,27.616,1378.114,28.658,,,30
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.619,48.959,24.767,1430.429,15.326,11.57,,100
SM,,34.408872,Clapper,New Mexico,16.3,1.158,15.835,25.018,1335.057,28.97,,0.914,100
SM,,34.408872,Clapper,New Mexico,16.3,1.316,15.633,24.017,1344.286,31.6,,0.914,100
SM,,34.408872,Clapper,New Mexico,16.3,0.923,30.426,27.02,1242.771,24.946,,1.524,100
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.868,50.401,28.851,1339.686,25.05,19.8,1.829,100
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.632,52.085,31.278,1548.843,19.76,12.42,1.829,100
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.672,51.69,32.034,1261.517,21.517,,1.829,100
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.596,53.321,29.183,1441.186,17.388,15.87,2.134,100
SM,,34.408872,Clapper,New Mexico,16.3,1.328,16.7,23.35,1272.014,30.996,12.43,2.134,100
SB,Slow,34.408872,Clapper,New Mexico,16.3,0.766,47.098,38.479,1285.857,29.481,18.42,,100
SM,,34.408872,Clapper,New Mexico,16.3,1.201,15.674,21.545,1262.786,25.878,13.01,0.762,100
SM,,34.408872,Clapper,New Mexico,16.3,1.209,15.854,22.946,1396.6,27.742,10.08,0.457,100
SM,,34.408872,Clapper,New Mexico,16.3,1.11,16.146,22.948,1252,25.463,13.23,0.457,100
SM,,34.408872,Clapper,New Mexico,16.3,1.402,14.257,23.27,1288.929,32.623,,,100
SM,,34.408872,Clapper,New Mexico,16.3,1.144,15.526,23.601,1292,27.006,,0.305,100
SM,,34.408872,Clapper,New Mexico,16.3,1.15,15.081,26.179,1242.786,30.106,14.16,,100
SM,,34.408872,Clapper,New Mexico,16.3,1.153,16.783,22.793,1279.7,26.278,,,100
SB,Slow,34.400091,Planet x,New Mexico,16.5,0.677,51.531,33.24,1415.029,22.493,,1.829,40
SB,Slow,34.400091,Planet x,New Mexico,16.5,0.765,56.457,32.536,1338.143,24.887,,,40
SM,,34.400091,Planet x,New Mexico,16.5,1.108,17.526,28.37,1299.686,31.431,9.23,0.914,40
SM,,34.400091,Planet x,New Mexico,16.5,1.073,17.142,26.563,1229.2,28.489,,1.524,40
SM,,34.400091,Planet x,New Mexico,16.5,1.079,18.078,21.511,1284.3,23.206,,,40
SM,,34.400091,Planet x,New Mexico,16.5,1.245,17.804,26.823,1227.386,33.404,,,40
SM,,34.400091,Planet x,New Mexico,16.5,1.187,17.413,28.477,1311.986,33.795,,0.914,40
SB,Slow,34.400091,Planet x,New Mexico,16.5,0.769,55.092,30.484,1438.129,23.442,17.35,,40
SB,Slow,34.400091,Planet x,New Mexico,16.5,0.73,51.016,30.467,1330.443,22.251,16.44,,40
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.612,58.965,40.477,1608.857,24.772,21.65,3.048,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.576,57.11,41.611,1461.2,23.947,17.63,0.914,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.543,62.337,43.225,1267.4,23.464,,0.914,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.615,59.169,43.512,1448.886,26.778,24.48,4.572,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.582,60.176,36.343,1562.686,21.149,18.07,,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.574,62.532,43.418,1384.286,24.936,15.29,2.134,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.616,56.526,39.368,1295.071,24.254,,1.524,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.586,60.34,45.79,1476.586,26.814,18.24,1.524,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.621,57.218,42.549,1218.171,26.419,19.09,1.219,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.651,57.653,40.742,1468.886,26.509,11.13,4.572,50
SB,Slow,33.045126,Harvest Moon,New Mexico,20.1,0.592,60.246,45.851,1281.229,27.159,22.26,,50
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.194,203.476,71.012,1636.514,13.8,14.21,,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.197,203.966,58.844,1599.643,11.607,14.64,1.219,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.153,231.234,63.926,1799.586,9.781,14.03,1.219,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.192,195.65,82.019,1535.043,15.768,14.33,0.076,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.192,187.198,,1441.2,,,0.076,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.203,209.721,61.676,1536.557,12.494,,0.05,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.149,217.888,70.83,1411.971,10.542,12.06,0.05,12
SB,Fast,32.085243,Cattle Guard,New Mexico,21,0.171,206.58,79.671,1528.857,13.637,13.17,0.05,12
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.152,204.306,77.401,1528.886,11.752,,0.61,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.168,215.322,78.452,1501.171,13.2,16.76,,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.119,237.666,84.559,1365.843,10.07,,,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.152,222.836,86.542,1316.614,13.118,,0.914,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.148,223.774,69.764,1301.229,10.308,16.57,1.219,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.164,213.114,89.642,1584.243,14.731,16.13,2.438,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.147,228.622,90.752,1298.171,13.31,13.34,3.048,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.166,178.686,83.367,1602.7,13.869,21.6,,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.137,222.107,81.316,1258.186,11.113,17.41,1.829,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.162,215.866,59.901,1488.871,9.704,13.89,0.61,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.141,227.881,74.264,1501.2,10.465,13.68,0.61,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.169,224.502,80.951,1535,13.708,19.71,,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.15,201.426,89.059,1550.4,13.329,16.57,,75
SB,Fast,32.117675,Heavy Truck Traffic,New Mexico,21.3,0.182,225.78,77.936,1498.086,14.217,,,75
SB,Fast,32.180151,Freak Out,New Mexico,21.1,0.159,191.305,69.753,1476.571,11.062,14.15,,40
SB,Fast,32.180151,Freak Out,New Mexico,21.1,0.15,184.301,61.679,1655,9.262,9.47,,40
SB,Fast,32.180151,Freak Out,New Mexico,21.1,0.166,197.035,87.094,1605.757,14.479,14.26,,40
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.107,224.062,89.956,1513.471,9.648,11.27,3.048,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.141,258.826,89.794,1455.043,12.631,,0.914,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.136,242.537,100.982,1590.386,13.776,14.05,,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.144,230.847,101.623,1618.071,14.617,16.26,,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.118,237.86,98.941,1728.829,11.691,14.65,,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.114,224.709,102.599,1295.071,11.662,,,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.139,212.989,67.559,1621.171,9.379,10.24,0.305,30
SB,Fast,31.980972,Banana Split,New Mexico,21.9,0.141,189.661,71.176,1510.4,10.024,12.92,0.305,30
SB,Fast,32.371593,Mash-up,New Mexico,23,0.141,217.143,95.597,1430.414,13.447,,4.572,8
SB,Fast,32.371593,Mash-up,New Mexico,23,0.17,207.061,115.321,1384.286,19.547,19.78,4.572,8
SB,Fast,32.371593,Mash-up,New Mexico,23,0.181,183.18,93.007,1439.629,16.865,11.81,6.096,8
SB,Fast,32.371593,Mash-up,New Mexico,23,0.148,244.387,83.902,1341.229,12.383,21.97,4.572,8
SB,Fast,32.371593,Mash-up,New Mexico,23,0.186,191.602,82.237,1661.143,15.323,15.49,,8
SB,Fast,32.371593,Mash-up,New Mexico,23,0.181,183.18,92.238,1648.829,16.726,,,8
